Date : 2024-01-29 03:10:16
Directory : /Users/darrellparkhouse/projects/angular/kaylios
Total : 161 files,  17875 codes, 114 comments, 884 blanks, all 18873 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          7 |     13,922 |          2 |          7 |     13,931 |
| TypeScript         |         75 |      1,149 |          3 |        287 |      1,439 |
| JavaScript         |         13 |      1,062 |         94 |        262 |      1,418 |
| SCSS               |         31 |        668 |         12 |        138 |        818 |
| Markdown           |          3 |        446 |          0 |        123 |        569 |
| HTML               |         25 |        416 |          2 |         48 |        466 |
| XML                |          4 |         90 |          0 |          4 |         94 |
| SQL                |          1 |         87 |          0 |         14 |        101 |
| JSON with Comments |          1 |         32 |          1 |          1 |         34 |
| Properties         |          1 |          3 |          0 |          0 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        161 |     17,875 |        114 |        884 |     18,873 |
| . (Files)                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| client                                                                                                                    |        139 |     15,423 |         20 |        495 |     15,938 |
| client (Files)                                                                                                            |          7 |     13,113 |          3 |         20 |     13,136 |
| client/src                                                                                                                |        132 |      2,310 |         17 |        475 |      2,802 |
| client/src (Files)                                                                                                        |          3 |         32 |          3 |         10 |         45 |
| client/src/app                                                                                                            |        125 |      2,188 |         14 |        461 |      2,663 |
| client/src/app (Files)                                                                                                    |          6 |        155 |          0 |         22 |        177 |
| client/src/app/check-email                                                                                                |          4 |         47 |          1 |         13 |         61 |
| client/src/app/contact-me                                                                                                 |          4 |        179 |          1 |         27 |        207 |
| client/src/app/custom-checkbox                                                                                            |          4 |         47 |          0 |         10 |         57 |
| client/src/app/footer                                                                                                     |          4 |        127 |          0 |         15 |        142 |
| client/src/app/forgot-password                                                                                            |          4 |         26 |          0 |         10 |         36 |
| client/src/app/global-styles                                                                                              |          6 |        123 |          0 |         22 |        145 |
| client/src/app/header                                                                                                     |          4 |        146 |          4 |         31 |        181 |
| client/src/app/home                                                                                                       |          4 |         27 |          0 |          8 |         35 |
| client/src/app/login                                                                                                      |          4 |        124 |          2 |         20 |        146 |
| client/src/app/models                                                                                                     |          7 |         49 |          0 |          4 |         53 |
| client/src/app/newsletter                                                                                                 |          4 |        128 |          0 |         25 |        153 |
| client/src/app/notes                                                                                                      |         16 |        193 |          1 |         49 |        243 |
| client/src/app/notes (Files)                                                                                              |          4 |         33 |          0 |         11 |         44 |
| client/src/app/notes/add-note                                                                                             |          4 |        108 |          1 |         18 |        127 |
| client/src/app/notes/edit-note                                                                                            |          4 |         26 |          0 |         10 |         36 |
| client/src/app/notes/notes-table                                                                                          |          4 |         26 |          0 |         10 |         36 |
| client/src/app/otp-check-email                                                                                            |          4 |        168 |          3 |         38 |        209 |
| client/src/app/portfolio                                                                                                  |          8 |         52 |          0 |         21 |         73 |
| client/src/app/portfolio (Files)                                                                                          |          4 |         26 |          0 |         11 |         37 |
| client/src/app/portfolio/portfolio-item                                                                                   |          4 |         26 |          0 |         10 |         36 |
| client/src/app/register                                                                                                   |          4 |        149 |          0 |         22 |        171 |
| client/src/app/reset-password                                                                                             |          4 |         26 |          0 |         10 |         36 |
| client/src/app/search                                                                                                     |          4 |         56 |          1 |         12 |         69 |
| client/src/app/search-results                                                                                             |          4 |         32 |          0 |          7 |         39 |
| client/src/app/services                                                                                                   |         14 |        179 |          0 |         60 |        239 |
| client/src/app/user                                                                                                       |         12 |        155 |          1 |         35 |        191 |
| client/src/app/user (Files)                                                                                               |          4 |         26 |          0 |         10 |         36 |
| client/src/app/user/edit-user                                                                                             |          4 |         26 |          0 |         10 |         36 |
| client/src/app/user/user-list                                                                                             |          4 |        103 |          1 |         15 |        119 |
| client/src/assets                                                                                                         |          4 |         90 |          0 |          4 |         94 |
| client/src/assets/icons                                                                                                   |          4 |         90 |          0 |          4 |         94 |
| docs                                                                                                                      |          1 |        431 |          0 |        109 |        540 |
| server                                                                                                                    |         20 |      2,020 |         94 |        280 |      2,394 |
| server (Files)                                                                                                            |          4 |        888 |          5 |         11 |        904 |
| server/controllers                                                                                                        |          6 |        693 |         26 |        174 |        893 |
| server/database                                                                                                           |          1 |         87 |          0 |         14 |        101 |
| server/models                                                                                                             |          3 |         13 |          0 |          2 |         15 |
| server/routes                                                                                                             |          4 |        275 |         60 |         69 |        404 |
| server/utility                                                                                                            |          2 |         64 |          3 |         10 |         77 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                  | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/darrellparkhouse/projects/angular/kaylios/README.md                                                                | Markdown           |          1 |          0 |          0 |          1 |
| /Users/darrellparkhouse/projects/angular/kaylios/client/README.md                                                         | Markdown           |         14 |          0 |         14 |         28 |
| /Users/darrellparkhouse/projects/angular/kaylios/client/angular.json                                                      | JSON               |        107 |          0 |          1 |        108 |
| /Users/darrellparkhouse/projects/angular/kaylios/client/package-lock.json                                                 | JSON               |     12,896 |          0 |          1 |     12,897 |
| /Users/darrellparkhouse/projects/angular/kaylios/client/package.json                                                      | JSON               |         38 |          0 |          1 |         39 |
| /Users/darrellparkhouse/projects/angular/kaylios/client/src/app/app-routing.module.ts                                     | TypeScript         |         54 |          0 |          3 |         57 |
